id,name,slug,oldSku,newSku,no,how,conf,agree,suggest,category,capDb,capNas,capWarn,nas,imgSlug
"60dc73d7-0d6c-410e-92a5-df64ac8fd6d3","USB แฟลชไดรฟ์ MP3 รวมเพลงใต้ - สำเนียงดนตรีใต้ ฟังเพราะถึงใจ","usb-mp3-tai-dontri","BT-TA-01-022","BT-TA-01-022","22","รูป","รูปตรง 9 ใบ · d1","ตรงกัน","","เพลงใต้","1GB","1GB","","022. รวมเพลงใต้สำเนียงใต้ [1GB]","usb-mp3-tai-dontri"
"1bbd7976-deb3-490b-a7c8-556bfc0b0d84","USB แฟลชไดรฟ์ MP3 รวมเพลงคาราบาว ครบทุกอัลบั้ม","usb-mp3-carabao-2gb","BT-PC-04-060","BT-PC-04-060","60","รูป","รูปตรง 9 ใบ · d1","ชื่อชี้ 40","","เพื่อชีวิต","4GB","","","","usb-mp3-carabao-2gb"
"0358a705-1a3c-4216-8bbb-6c48642a0241","USB แฟลชไดรฟ์ MP3 รวมเพลงร็อคไทย ยุค 2000 เพลงฮิต","usb-mp3-thai-rock-2000","BT-ST-02-037","BT-ST-02-037","37","รูป","รูปตรง 3 ใบ · d4","ชื่อชี้ 43","","เพลงสตริง","2GB","","","037. ร็อค2000ปรับรุงใหม่ (2GB)","usb-mp3-thai-rock-2000"
"2d1445b9-4e7c-4bd1-8f40-e287cca9db2c","USB แฟลชไดรฟ์ - MP3 รวมเพลงเพื่อชีวิต – เพลงเพื่อชีวิตที่อบอุ่นและเต็มไปด้วยพลังใจ!","usb-mp3-phuea-chiwit-2","BT-PC-04-032","BT-PC-04-032","32","รูป","รูปตรง 9 ใบ · d0","ตรงกัน","","เพื่อชีวิต","4GB","4GB","","032. เพื่อชีวิต [4GB]","usb-mp3-phuea-chiwit-2"
"c611a8e0-4187-4d66-b52b-c10949284e19","USB แฟลชไดรฟ์ MP3 รวมเพลงดังใน TikTok","usb-mp3-tiktok-hits","BT-ST-02-038","BT-ST-02-038","38","รูป","รูปตรง 9 ใบ · d4","ตรงกัน","","เพลงสตริง","2GB","2GB","","038. TikTok [2GB]","usb-mp3-tiktok-hits"
"sku-055-usb-mp3-bodyslam","USB แฟลชไดรฟ์ MP3 รวมทุกเพลง Bodyslam ครบทุกอัลบั้ม","usb-mp3-bodyslam","BT-ST-01-020","BT-ST-01-020","20","รูป","รูปตรง 9 ใบ · d1","ตรงกัน","","เพลงสตริง","1GB","1GB","","020. bodyslam [1GB]","usb-mp3-bodyslam"
"sku-059-usb-mp3-sai-string","USB แฟลชไดรฟ์ MP3 รวมเพลงฮิตสายสตริงมาแรง ครบทุกเพลงโปรด","usb-mp3-ruam-hit-sai-string","BT-ST-01-006","BT-ST-01-006","6","รูป","รูปตรง 9 ใบ · d3","ตรงกัน","","เพลงสตริง","1GB","1GB","","006. สายสตริงมาแแรง [1GB]","usb-mp3-ruam-hit-sai-string"
"sku-064-usb-mp3-dance","USB แฟลชไดรฟ์ MP3 รวมเพลงแดนซ์มันส์ EDM Remix สนุกตลอดเวลา","usb-mp3-dance","BT-DZ-01-031","BT-DZ-01-031","31","รูป","รูปตรง 9 ใบ · d1","ตรงกัน","","แดนซ์","1GB","1GB","","031. แดนซ์ [1GB]","usb-mp3-dance-3.jpg"
"sku-068-usb-mp3-yuk-90","USB แฟลชไดรฟ์ MP3 เสียงเพลงยุค 90 เพลงเพราะตลอดกาล","usb-mp3-phleng-yuk-90","BT-ST-01-018","BT-ST-01-018","18","รูป","รูปตรง 9 ใบ · d1","ชื่อชี้ 4","","เพลงสตริง","1GB","1GB","","018. เสียงเพลงยุค90 [1GB]","usb-mp3-phleng-yuk-90"
"sku-077-usb-mp3-sakol","USB แฟลชไดรฟ์ MP3 รวมเพลงสากล ฟังเพลินทุกที่ทุกเวลา","usb-mp3-sakol-sku-077","BT-IN-01-001","BT-IN-01-001","1","รูป","รูปตรง 9 ใบ · d1","ตรงกัน","","เพลงสากล","1GB","1GB","","001. สากล [1GB]","usb-mp3-sakol-sku-077"
"sku-084-usb-mp3-phleng-sakol","USB แฟลชไดรฟ์ MP3 รวมเพลงสากลเพราะๆ ฟังสบาย Pop Rock R&B","usb-mp3-ruam-phleng-sakol","BT-IN-01-014","BT-IN-01-014","14","รูป","รูปตรง 9 ใบ · d2","ชื่อชี้ 1","","เพลงสากล","1GB","1GB","","014. รวมเพลงสากล ฮิตติดชาร์ต [1GB]","usb-mp3-ruam-phleng-sakol"
"sku-093-usb-mp3-aoi-damkan","USB แฟลชไดรฟ์ MP3 พงษ์สิทธิ์ คำภีร์ ชุดแรก-ปัจจุบัน 2530-2566 ครบทุกอัลบั้ม","usb-mp3-pongsit-kampee","BT-PC-02-012","BT-PC-02-012","12","รูป","รูปตรง 9 ใบ · d2","ตรงกัน","","เพื่อชีวิต","2GB","2GB","","012. พงษ์สิทธิ์ คำภีร์  [2GB]","usb-mp3-aoi-damkan"
"sku-098-usb-mp3-hit-yuk-90","USB แฟลชไดรฟ์ MP3 รวมฮิตยุค 90 คิด(ถึง)ถึง เพลงเพราะจากยุคทอง","usb-mp3-hit-yuk-90-khit-thueng","BT-ST-01-017","BT-ST-01-017","17","รูป","รูปตรง 9 ใบ · d3","ตรงกัน","","เพลงสตริง","1GB","1GB","","017. ยุค90 คิด(ถึง)ถึง [1G]","usb-mp3-hit-yuk-90-khit-thueng"
"9a22a4cd-c4e0-4338-9b29-305599254120","USB แฟลชไดรฟ์ - MP3 รวมเพลงฮิต 100 ล้านวิว – รวมสตริง ฟังเพลิน ไม่มีสะดุด!","usb-mp3-100-million-views-2","BT-ST-01-009","BT-ST-01-009","9","รูป","รูปตรง 8 ใบ · d1","ตรงกัน","","เพลงสตริง","1GB","1GB","","009.รวมฮิต 100ล้านวิว [1GB]","usb-mp3-100-million-views"
"982bfa9c-9b1e-491e-94e9-463a5bb17d33","USB แฟลชไดรฟ์ MP3 รวมเรื่องเล่าอาจารย์ยอด 461 ตอน 16GB ฟังในรถ ไม่ต้องใช้เน็ต","usb-mp3-ruam-rueang-lao-oacharyyod-16gb","BT-DM-16-052","BT-DM-16-052","52","รูป","รูปตรง 6 ใบ · d4","ตรงกัน","","ธรรมะ","16GB","16GB","","052. อาจารยอด [16GB]","usb-mp3-ruam-rueang-lao-oacharyyod-16gb"
"1468b2b0-440d-4399-a62c-dd48f78f2e7f","USB แฟลชไดรฟ์ MP3 รวมเพลงพงษ์เทพ กระโดนชำนาญ 161 เพลง 2GB ฟังในรถ ไม่ต้องใช้เน็ต","usb-mp3-ruam-phleng-phngsethph-kraodnch-anay-2gb","BT-PC-02-055","BT-PC-02-055","55","รูป","รูปตรง 4 ใบ · d4","ตรงกัน","","เพื่อชีวิต","2GB","2GB","","055. พงษ์เทพ กระโดนชำนาญ [2GB]","usb-mp3-ruam-phleng-phngsethph-kraodnch-anay-2gb"
"60aaa501-2e18-4420-8946-f2700ee7af23","USB แฟลชไดรฟ์ MP3 รวมเพลงมาลีฮวนน่า 82 เพลง 1GB ฟังในรถ ไม่ต้องใช้เน็ต","usb-mp3-ruam-phleng-malihwnna-1gb","BT-PC-01-053","BT-PC-01-053","53","รูป","รูปตรง 5 ใบ · d4","ตรงกัน","","เพื่อชีวิต","1GB","1GB","","053. มาลีฮวนน่า [1GB]","usb-mp3-ruam-phleng-malihwnna-1gb"
